,Code,GeoFips,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,City,State_id,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
6,CAINC1-1,01013,2016,Thousands of dollars,3,"688,287",Butler,AL,36904,32.097363,-88.22646999999999,-6,1,32.097363
16,CAINC1-1,01019,2016,Thousands of dollars,3,"861,753",Cherokee,AL,35616,34.748498,-87.9986,-6,1,34.748498
26,CAINC1-1,01027,2016,Thousands of dollars,3,"420,675",Clay,AL,35048,33.544622,-86.929208,-6,1,33.544622
54,CAINC1-1,01043,2016,Thousands of dollars,3,"3,042,901",Cullman,AL,35055,34.167893,-86.82506,-6,1,34.167893
76,CAINC1-1,01051,2016,Thousands of dollars,3,"3,235,719",Elmore,AL,36025,32.538878000000004,-86.33358,-6,1,32.538878000000004
86,CAINC1-1,01057,2016,Thousands of dollars,3,"541,514",Fayette,AL,35555,33.681768,-87.83026,-6,1,33.681768
96,CAINC1-1,01059,2016,Thousands of dollars,3,"993,470",Franklin,AL,36444,31.63857,-87.46772,-6,1,31.63857
106,CAINC1-1,01061,2016,Thousands of dollars,3,"875,485",Geneva,AL,36340,31.043453999999997,-85.87941,-6,1,31.043453999999997
116,CAINC1-1,01069,2016,Thousands of dollars,3,"4,162,847",Houston,AL,35572,34.166779999999996,-87.26526,-6,1,34.166779999999996
126,CAINC1-1,01071,2016,Thousands of dollars,3,"1,810,844",Jackson,AL,36545,31.508231,-87.88346,-6,1,31.508231
136,CAINC1-1,01073,2016,Thousands of dollars,3,"32,979,113",Jefferson,AL,36745,32.414035999999996,-87.898611,-6,1,32.414035999999996
158,CAINC1-1,01089,2016,Thousands of dollars,3,"17,205,641",Madison,AL,35758,34.715065,-86.73964000000001,-6,1,34.715065
176,CAINC1-1,01093,2016,Thousands of dollars,3,"918,153",Marion,AL,36756,32.665966,-87.33889,-6,1,32.665966
438,CAINC1-1,01097,2016,Thousands of dollars,3,"15,100,452",Mobile,AL,36689,30.658865000000002,-88.177975,-6,1,30.658865000000002
820,CAINC1-1,01101,2016,Thousands of dollars,3,"9,462,222",Montgomery,AL,36134,32.233377000000004,-86.208528,-6,1,32.233377000000004
966,CAINC1-1,01111,2016,Thousands of dollars,3,"702,715",Randolph,AL,36792,32.917983,-86.89046,-6,1,32.917983
976,CAINC1-1,01117,2016,Thousands of dollars,3,"10,749,837",Shelby,AL,35143,33.080971000000005,-86.53875,-6,1,33.080971000000005
992,CAINC1-1,01121,2016,Thousands of dollars,3,"2,634,680",Talladega,AL,35161,33.420206,-86.10278199999999,-6,1,33.420206
