,Code,GeoFips,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,City,State_id,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
1,CAINC1-1,01013,2011,Thousands of dollars,3,"602,531",Butler,AL,36904,32.097363,-88.22646999999999,-6,1,32.097363
11,CAINC1-1,01019,2011,Thousands of dollars,3,"751,431",Cherokee,AL,35616,34.748498,-87.9986,-6,1,34.748498
21,CAINC1-1,01027,2011,Thousands of dollars,3,"366,027",Clay,AL,35048,33.544622,-86.929208,-6,1,33.544622
34,CAINC1-1,01043,2011,Thousands of dollars,3,"2,499,237",Cullman,AL,35055,34.167893,-86.82506,-6,1,34.167893
71,CAINC1-1,01051,2011,Thousands of dollars,3,"2,817,563",Elmore,AL,36025,32.538878000000004,-86.33358,-6,1,32.538878000000004
81,CAINC1-1,01057,2011,Thousands of dollars,3,"468,140",Fayette,AL,35555,33.681768,-87.83026,-6,1,33.681768
91,CAINC1-1,01059,2011,Thousands of dollars,3,"895,610",Franklin,AL,36444,31.63857,-87.46772,-6,1,31.63857
101,CAINC1-1,01061,2011,Thousands of dollars,3,"786,267",Geneva,AL,36340,31.043453999999997,-85.87941,-6,1,31.043453999999997
111,CAINC1-1,01069,2011,Thousands of dollars,3,"3,759,784",Houston,AL,35572,34.166779999999996,-87.26526,-6,1,34.166779999999996
121,CAINC1-1,01071,2011,Thousands of dollars,3,"1,612,980",Jackson,AL,36545,31.508231,-87.88346,-6,1,31.508231
131,CAINC1-1,01073,2011,Thousands of dollars,3,"28,679,713",Jefferson,AL,36745,32.414035999999996,-87.898611,-6,1,32.414035999999996
143,CAINC1-1,01089,2011,Thousands of dollars,3,"14,774,629",Madison,AL,35758,34.715065,-86.73964000000001,-6,1,34.715065
171,CAINC1-1,01093,2011,Thousands of dollars,3,"803,768",Marion,AL,36756,32.665966,-87.33889,-6,1,32.665966
223,CAINC1-1,01097,2011,Thousands of dollars,3,"13,935,951",Mobile,AL,36689,30.658865000000002,-88.177975,-6,1,30.658865000000002
645,CAINC1-1,01101,2011,Thousands of dollars,3,"8,598,120",Montgomery,AL,36134,32.233377000000004,-86.208528,-6,1,32.233377000000004
961,CAINC1-1,01111,2011,Thousands of dollars,3,"605,837",Randolph,AL,36792,32.917983,-86.89046,-6,1,32.917983
971,CAINC1-1,01117,2011,Thousands of dollars,3,"8,695,375",Shelby,AL,35143,33.080971000000005,-86.53875,-6,1,33.080971000000005
982,CAINC1-1,01121,2011,Thousands of dollars,3,"2,355,891",Talladega,AL,35161,33.420206,-86.10278199999999,-6,1,33.420206
1010,CAINC1-1,01125,2011,Thousands of dollars,3,"6,549,793",Tuscaloosa,AL,35401,33.193818,-87.56843,-6,1,33.193818
1101,CAINC1-1,04003,2011,Thousands of dollars,3,"4,686,920",Cochise,AZ,85606,32.054694,-109.81342,-7,0,32.054694
1111,CAINC1-1,04013,2011,Thousands of dollars,3,"145,670,123",Maricopa,AZ,85239,32.989261,-112.11505,-7,0,32.989261
1121,CAINC1-1,04017,2011,Thousands of dollars,3,"2,765,615",Navajo,AZ,87328,35.923348,-109.08296000000001,-7,0,35.923348
1131,CAINC1-1,04019,2011,Thousands of dollars,3,"34,855,621",Pima,AZ,85543,32.90375,-109.84995,-7,0,32.90375
1145,CAINC1-1,04027,2011,Thousands of dollars,3,"5,672,331",Yuma,AZ,85367,32.654701,-114.40883999999998,-7,0,32.654701
1193,CAINC1-1,05007,2011,Thousands of dollars,3,"12,908,748",Benton,AR,72018,34.597345000000004,-92.622857,-6,1,34.597345000000004
1221,CAINC1-1,05011,2011,Thousands of dollars,3,"331,834",Bradley,AR,71826,33.102083,-93.67371999999999,-6,1,33.102083
1231,CAINC1-1,05025,2011,Thousands of dollars,3,"248,484",Cleveland,AR,72030,35.423473,-92.67942,-6,1,35.423473
