,Code,GeoFips,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,City,State_id,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
4,CAINC1-1,01013,2014,Thousands of dollars,3,"670,725",Butler,AL,36904,32.097363,-88.22646999999999,-6,1,32.097363
14,CAINC1-1,01019,2014,Thousands of dollars,3,"818,829",Cherokee,AL,35616,34.748498,-87.9986,-6,1,34.748498
24,CAINC1-1,01027,2014,Thousands of dollars,3,"397,144",Clay,AL,35048,33.544622,-86.929208,-6,1,33.544622
46,CAINC1-1,01043,2014,Thousands of dollars,3,"2,843,141",Cullman,AL,35055,34.167893,-86.82506,-6,1,34.167893
74,CAINC1-1,01051,2014,Thousands of dollars,3,"2,954,527",Elmore,AL,36025,32.538878000000004,-86.33358,-6,1,32.538878000000004
84,CAINC1-1,01057,2014,Thousands of dollars,3,"509,211",Fayette,AL,35555,33.681768,-87.83026,-6,1,33.681768
94,CAINC1-1,01059,2014,Thousands of dollars,3,"948,289",Franklin,AL,36444,31.63857,-87.46772,-6,1,31.63857
104,CAINC1-1,01061,2014,Thousands of dollars,3,"830,153",Geneva,AL,36340,31.043453999999997,-85.87941,-6,1,31.043453999999997
114,CAINC1-1,01069,2014,Thousands of dollars,3,"3,927,156",Houston,AL,35572,34.166779999999996,-87.26526,-6,1,34.166779999999996
124,CAINC1-1,01071,2014,Thousands of dollars,3,"1,750,547",Jackson,AL,36545,31.508231,-87.88346,-6,1,31.508231
134,CAINC1-1,01073,2014,Thousands of dollars,3,"30,897,715",Jefferson,AL,36745,32.414035999999996,-87.898611,-6,1,32.414035999999996
152,CAINC1-1,01089,2014,Thousands of dollars,3,"15,835,571",Madison,AL,35758,34.715065,-86.73964000000001,-6,1,34.715065
174,CAINC1-1,01093,2014,Thousands of dollars,3,"886,394",Marion,AL,36756,32.665966,-87.33889,-6,1,32.665966
352,CAINC1-1,01097,2014,Thousands of dollars,3,"14,360,513",Mobile,AL,36689,30.658865000000002,-88.177975,-6,1,30.658865000000002
750,CAINC1-1,01101,2014,Thousands of dollars,3,"8,867,489",Montgomery,AL,36134,32.233377000000004,-86.208528,-6,1,32.233377000000004
964,CAINC1-1,01111,2014,Thousands of dollars,3,"679,510",Randolph,AL,36792,32.917983,-86.89046,-6,1,32.917983
974,CAINC1-1,01117,2014,Thousands of dollars,3,"9,927,333",Shelby,AL,35143,33.080971000000005,-86.53875,-6,1,33.080971000000005
988,CAINC1-1,01121,2014,Thousands of dollars,3,"2,520,735",Talladega,AL,35161,33.420206,-86.10278199999999,-6,1,33.420206
1040,CAINC1-1,01125,2014,Thousands of dollars,3,"7,183,047",Tuscaloosa,AL,35401,33.193818,-87.56843,-6,1,33.193818
1104,CAINC1-1,04003,2014,Thousands of dollars,3,"4,561,348",Cochise,AZ,85606,32.054694,-109.81342,-7,0,32.054694
1114,CAINC1-1,04013,2014,Thousands of dollars,3,"168,704,501",Maricopa,AZ,85239,32.989261,-112.11505,-7,0,32.989261
1124,CAINC1-1,04017,2014,Thousands of dollars,3,"2,966,564",Navajo,AZ,87328,35.923348,-109.08296000000001,-7,0,35.923348
1134,CAINC1-1,04019,2014,Thousands of dollars,3,"38,198,450",Pima,AZ,85543,32.90375,-109.84995,-7,0,32.90375
1160,CAINC1-1,04027,2014,Thousands of dollars,3,"5,989,668",Yuma,AZ,85367,32.654701,-114.40883999999998,-7,0,32.654701
1202,CAINC1-1,05007,2014,Thousands of dollars,3,"18,197,710",Benton,AR,72018,34.597345000000004,-92.622857,-6,1,34.597345000000004
1224,CAINC1-1,05011,2014,Thousands of dollars,3,"375,398",Bradley,AR,71826,33.102083,-93.67371999999999,-6,1,33.102083
1234,CAINC1-1,05025,2014,Thousands of dollars,3,"294,017",Cleveland,AR,72030,35.423473,-92.67942,-6,1,35.423473
1256,CAINC1-1,05029,2014,Thousands of dollars,3,"771,779",Conway,AR,72035,35.105306,-92.354915,-6,1,35.105306
1284,CAINC1-1,05041,2014,Thousands of dollars,3,"429,016",Desha,AR,72527,35.733939,-91.68913,-6,1,35.733939
1294,CAINC1-1,05047,2014,Thousands of dollars,3,"558,297",Franklin,AR,72536,36.155896999999996,-91.75644,-6,1,36.155896999999996
1304,CAINC1-1,05049,2014,Thousands of dollars,3,"312,860",Fulton,AR,71838,33.638783000000004,-93.80828000000001,-6,1,33.638783000000004
1314,CAINC1-1,05069,2014,Thousands of dollars,3,"2,329,780",Jefferson,AR,72079,34.401717,-92.20272,-6,1,34.401717
1324,CAINC1-1,05071,2014,Thousands of dollars,3,"707,919",Johnson,AR,72741,35.99403,-94.219977,-6,1,35.99403
1334,CAINC1-1,05079,2014,Thousands of dollars,3,"341,884",Lincoln,AR,72744,35.954696999999996,-94.42735,-6,1,35.954696999999996
1344,CAINC1-1,05085,2014,Thousands of dollars,3,"2,542,171",Lonoke,AR,72086,34.7964,-91.90949,-6,1,34.7964
1354,CAINC1-1,05087,2014,Thousands of dollars,3,"502,185",Madison,AR,72359,35.013692999999996,-90.72317,-6,1,35.013692999999996
1364,CAINC1-1,05089,2014,Thousands of dollars,3,"450,198",Marion,AR,72364,35.200501,-90.20234,-6,1,35.200501
1374,CAINC1-1,05095,2014,Thousands of dollars,3,"241,337",Monroe,AR,72108,34.726737,-91.10958000000001,-6,1,34.726737
1384,CAINC1-1,05105,2014,Thousands of dollars,3,"327,135",Perry,AR,72125,35.056424,-92.79432,-6,1,35.056424
