,Code,GeoFips,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,City,State_id,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
0,CAINC1-1,01013,2010,Thousands of dollars,3,"596,826",Butler,AL,36904,32.097363,-88.22646999999999,-6,1,32.097363
10,CAINC1-1,01019,2010,Thousands of dollars,3,"726,157",Cherokee,AL,35616,34.748498,-87.9986,-6,1,34.748498
20,CAINC1-1,01027,2010,Thousands of dollars,3,"386,881",Clay,AL,35048,33.544622,-86.929208,-6,1,33.544622
30,CAINC1-1,01043,2010,Thousands of dollars,3,"2,457,351",Cullman,AL,35055,34.167893,-86.82506,-6,1,34.167893
70,CAINC1-1,01051,2010,Thousands of dollars,3,"2,701,613",Elmore,AL,36025,32.538878000000004,-86.33358,-6,1,32.538878000000004
80,CAINC1-1,01057,2010,Thousands of dollars,3,"454,802",Fayette,AL,35555,33.681768,-87.83026,-6,1,33.681768
90,CAINC1-1,01059,2010,Thousands of dollars,3,"891,839",Franklin,AL,36444,31.63857,-87.46772,-6,1,31.63857
100,CAINC1-1,01061,2010,Thousands of dollars,3,"774,536",Geneva,AL,36340,31.043453999999997,-85.87941,-6,1,31.043453999999997
110,CAINC1-1,01069,2010,Thousands of dollars,3,"3,616,139",Houston,AL,35572,34.166779999999996,-87.26526,-6,1,34.166779999999996
120,CAINC1-1,01071,2010,Thousands of dollars,3,"1,566,816",Jackson,AL,36545,31.508231,-87.88346,-6,1,31.508231
130,CAINC1-1,01073,2010,Thousands of dollars,3,"27,718,302",Jefferson,AL,36745,32.414035999999996,-87.898611,-6,1,32.414035999999996
140,CAINC1-1,01089,2010,Thousands of dollars,3,"14,020,036",Madison,AL,35758,34.715065,-86.73964000000001,-6,1,34.715065
170,CAINC1-1,01093,2010,Thousands of dollars,3,"794,902",Marion,AL,36756,32.665966,-87.33889,-6,1,32.665966
180,CAINC1-1,01097,2010,Thousands of dollars,3,"13,183,118",Mobile,AL,36689,30.658865000000002,-88.177975,-6,1,30.658865000000002
610,CAINC1-1,01101,2010,Thousands of dollars,3,"8,191,849",Montgomery,AL,36134,32.233377000000004,-86.208528,-6,1,32.233377000000004
960,CAINC1-1,01111,2010,Thousands of dollars,3,"631,754",Randolph,AL,36792,32.917983,-86.89046,-6,1,32.917983
970,CAINC1-1,01117,2010,Thousands of dollars,3,"8,147,665",Shelby,AL,35143,33.080971000000005,-86.53875,-6,1,33.080971000000005
980,CAINC1-1,01121,2010,Thousands of dollars,3,"2,278,137",Talladega,AL,35161,33.420206,-86.10278199999999,-6,1,33.420206
1000,CAINC1-1,01125,2010,Thousands of dollars,3,"6,282,140",Tuscaloosa,AL,35401,33.193818,-87.56843,-6,1,33.193818
1100,CAINC1-1,04003,2010,Thousands of dollars,3,"4,556,212",Cochise,AZ,85606,32.054694,-109.81342,-7,0,32.054694
1110,CAINC1-1,04013,2010,Thousands of dollars,3,"138,119,198",Maricopa,AZ,85239,32.989261,-112.11505,-7,0,32.989261
1120,CAINC1-1,04017,2010,Thousands of dollars,3,"2,680,823",Navajo,AZ,87328,35.923348,-109.08296000000001,-7,0,35.923348
1130,CAINC1-1,04019,2010,Thousands of dollars,3,"33,444,170",Pima,AZ,85543,32.90375,-109.84995,-7,0,32.90375
1140,CAINC1-1,04027,2010,Thousands of dollars,3,"5,368,937",Yuma,AZ,85367,32.654701,-114.40883999999998,-7,0,32.654701
1190,CAINC1-1,05007,2010,Thousands of dollars,3,"10,861,994",Benton,AR,72018,34.597345000000004,-92.622857,-6,1,34.597345000000004
1220,CAINC1-1,05011,2010,Thousands of dollars,3,"321,028",Bradley,AR,71826,33.102083,-93.67371999999999,-6,1,33.102083
