,Code,GeoFips,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,City,State_id,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
3,CAINC1-1,01013,2013,Thousands of dollars,3,"643,288",Butler,AL,36904,32.097363,-88.22646999999999,-6,1,32.097363
13,CAINC1-1,01019,2013,Thousands of dollars,3,"800,064",Cherokee,AL,35616,34.748498,-87.9986,-6,1,34.748498
23,CAINC1-1,01027,2013,Thousands of dollars,3,"377,671",Clay,AL,35048,33.544622,-86.929208,-6,1,33.544622
42,CAINC1-1,01043,2013,Thousands of dollars,3,"2,770,713",Cullman,AL,35055,34.167893,-86.82506,-6,1,34.167893
73,CAINC1-1,01051,2013,Thousands of dollars,3,"2,882,669",Elmore,AL,36025,32.538878000000004,-86.33358,-6,1,32.538878000000004
83,CAINC1-1,01057,2013,Thousands of dollars,3,"497,592",Fayette,AL,35555,33.681768,-87.83026,-6,1,33.681768
93,CAINC1-1,01059,2013,Thousands of dollars,3,"911,157",Franklin,AL,36444,31.63857,-87.46772,-6,1,31.63857
103,CAINC1-1,01061,2013,Thousands of dollars,3,"820,420",Geneva,AL,36340,31.043453999999997,-85.87941,-6,1,31.043453999999997
113,CAINC1-1,01069,2013,Thousands of dollars,3,"3,818,671",Houston,AL,35572,34.166779999999996,-87.26526,-6,1,34.166779999999996
123,CAINC1-1,01071,2013,Thousands of dollars,3,"1,708,860",Jackson,AL,36545,31.508231,-87.88346,-6,1,31.508231
133,CAINC1-1,01073,2013,Thousands of dollars,3,"29,706,376",Jefferson,AL,36745,32.414035999999996,-87.898611,-6,1,32.414035999999996
149,CAINC1-1,01089,2013,Thousands of dollars,3,"15,253,231",Madison,AL,35758,34.715065,-86.73964000000001,-6,1,34.715065
173,CAINC1-1,01093,2013,Thousands of dollars,3,"850,201",Marion,AL,36756,32.665966,-87.33889,-6,1,32.665966
309,CAINC1-1,01097,2013,Thousands of dollars,3,"14,041,658",Mobile,AL,36689,30.658865000000002,-88.177975,-6,1,30.658865000000002
715,CAINC1-1,01101,2013,Thousands of dollars,3,"8,642,182",Montgomery,AL,36134,32.233377000000004,-86.208528,-6,1,32.233377000000004
963,CAINC1-1,01111,2013,Thousands of dollars,3,"644,780",Randolph,AL,36792,32.917983,-86.89046,-6,1,32.917983
973,CAINC1-1,01117,2013,Thousands of dollars,3,"9,404,144",Shelby,AL,35143,33.080971000000005,-86.53875,-6,1,33.080971000000005
986,CAINC1-1,01121,2013,Thousands of dollars,3,"2,428,843",Talladega,AL,35161,33.420206,-86.10278199999999,-6,1,33.420206
1030,CAINC1-1,01125,2013,Thousands of dollars,3,"6,896,369",Tuscaloosa,AL,35401,33.193818,-87.56843,-6,1,33.193818
1103,CAINC1-1,04003,2013,Thousands of dollars,3,"4,477,829",Cochise,AZ,85606,32.054694,-109.81342,-7,0,32.054694
1113,CAINC1-1,04013,2013,Thousands of dollars,3,"158,271,268",Maricopa,AZ,85239,32.989261,-112.11505,-7,0,32.989261
1123,CAINC1-1,04017,2013,Thousands of dollars,3,"2,852,101",Navajo,AZ,87328,35.923348,-109.08296000000001,-7,0,35.923348
1133,CAINC1-1,04019,2013,Thousands of dollars,3,"36,652,520",Pima,AZ,85543,32.90375,-109.84995,-7,0,32.90375
1155,CAINC1-1,04027,2013,Thousands of dollars,3,"5,886,587",Yuma,AZ,85367,32.654701,-114.40883999999998,-7,0,32.654701
1199,CAINC1-1,05007,2013,Thousands of dollars,3,"15,384,090",Benton,AR,72018,34.597345000000004,-92.622857,-6,1,34.597345000000004
1223,CAINC1-1,05011,2013,Thousands of dollars,3,"354,475",Bradley,AR,71826,33.102083,-93.67371999999999,-6,1,33.102083
1233,CAINC1-1,05025,2013,Thousands of dollars,3,"275,718",Cleveland,AR,72030,35.423473,-92.67942,-6,1,35.423473
1252,CAINC1-1,05029,2013,Thousands of dollars,3,"739,650",Conway,AR,72035,35.105306,-92.354915,-6,1,35.105306
1283,CAINC1-1,05041,2013,Thousands of dollars,3,"467,313",Desha,AR,72527,35.733939,-91.68913,-6,1,35.733939
1293,CAINC1-1,05047,2013,Thousands of dollars,3,"518,953",Franklin,AR,72536,36.155896999999996,-91.75644,-6,1,36.155896999999996
1303,CAINC1-1,05049,2013,Thousands of dollars,3,"305,304",Fulton,AR,71838,33.638783000000004,-93.80828000000001,-6,1,33.638783000000004
1313,CAINC1-1,05069,2013,Thousands of dollars,3,"2,324,025",Jefferson,AR,72079,34.401717,-92.20272,-6,1,34.401717
1323,CAINC1-1,05071,2013,Thousands of dollars,3,"676,135",Johnson,AR,72741,35.99403,-94.219977,-6,1,35.99403
1333,CAINC1-1,05079,2013,Thousands of dollars,3,"368,119",Lincoln,AR,72744,35.954696999999996,-94.42735,-6,1,35.954696999999996
1343,CAINC1-1,05085,2013,Thousands of dollars,3,"2,476,750",Lonoke,AR,72086,34.7964,-91.90949,-6,1,34.7964
1353,CAINC1-1,05087,2013,Thousands of dollars,3,"459,979",Madison,AR,72359,35.013692999999996,-90.72317,-6,1,35.013692999999996
1363,CAINC1-1,05089,2013,Thousands of dollars,3,"433,870",Marion,AR,72364,35.200501,-90.20234,-6,1,35.200501
1373,CAINC1-1,05095,2013,Thousands of dollars,3,"271,489",Monroe,AR,72108,34.726737,-91.10958000000001,-6,1,34.726737
1383,CAINC1-1,05105,2013,Thousands of dollars,3,"322,823",Perry,AR,72125,35.056424,-92.79432,-6,1,35.056424
1393,CAINC1-1,05127,2013,Thousands of dollars,3,"281,480",Scott,AR,72142,34.689349,-92.07791999999999,-6,1,34.689349
1409,CAINC1-1,05129,2013,Thousands of dollars,3,"204,581",Searcy,AR,72143,35.239022,-91.73776,-6,1,35.239022
1436,CAINC1-1,05141,2013,Thousands of dollars,3,"468,087",Van Buren,AR,72956,35.456536,-94.34581,-6,1,35.456536
1453,CAINC1-1,05143,2013,Thousands of dollars,3,"7,126,346",Washington,AR,71862,33.761309000000004,-93.71273000000001,-6,1,33.761309000000004
1466,CAINC1-1,06001,2013,Thousands of dollars,3,"87,682,377",Alameda,CA,94502,37.734379,-122.23952,-8,1,37.734379
1486,CAINC1-1,06003,2013,Thousands of dollars,3,"67,218",Alpine,CA,91901,32.823102,-116.73863999999999,-8,1,32.823102
1503,CAINC1-1,06011,2013,Thousands of dollars,3,"860,252",Colusa,CA,95932,39.254875,-122.04571999999999,-8,1,39.254875
1513,CAINC1-1,06017,2013,Thousands of dollars,3,"9,874,704",El Dorado,CA,95623,38.639643,-120.84556,-8,1,38.639643
1700,CAINC1-1,06019,2013,Thousands of dollars,3,"33,865,015",Fresno,CA,93702,36.741199,-119.7553,-8,1,36.741199
2123,CAINC1-1,06021,2013,Thousands of dollars,3,"1,089,814",Glenn,CA,95943,39.605289,-122.03231000000001,-8,1,39.605289
2133,CAINC1-1,06025,2013,Thousands of dollars,3,"5,893,251",Imperial,CA,92251,32.853471,-115.58941999999999,-8,1,32.853471
