,Code,GeoFips,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,City,State_id,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
8,CAINC1-1,01013,2018,Thousands of dollars,3,"722,093",Butler,AL,36904,32.097363,-88.22646999999999,-6,1,32.097363
18,CAINC1-1,01019,2018,Thousands of dollars,3,"937,468",Cherokee,AL,35616,34.748498,-87.9986,-6,1,34.748498
28,CAINC1-1,01027,2018,Thousands of dollars,3,"446,853",Clay,AL,35048,33.544622,-86.929208,-6,1,33.544622
62,CAINC1-1,01043,2018,Thousands of dollars,3,"3,338,067",Cullman,AL,35055,34.167893,-86.82506,-6,1,34.167893
78,CAINC1-1,01051,2018,Thousands of dollars,3,"3,459,535",Elmore,AL,36025,32.538878000000004,-86.33358,-6,1,32.538878000000004
88,CAINC1-1,01057,2018,Thousands of dollars,3,"576,254",Fayette,AL,35555,33.681768,-87.83026,-6,1,33.681768
98,CAINC1-1,01059,2018,Thousands of dollars,3,"1,086,487",Franklin,AL,36444,31.63857,-87.46772,-6,1,31.63857
108,CAINC1-1,01061,2018,Thousands of dollars,3,"934,529",Geneva,AL,36340,31.043453999999997,-85.87941,-6,1,31.043453999999997
118,CAINC1-1,01069,2018,Thousands of dollars,3,"4,527,737",Houston,AL,35572,34.166779999999996,-87.26526,-6,1,34.166779999999996
128,CAINC1-1,01071,2018,Thousands of dollars,3,"1,918,362",Jackson,AL,36545,31.508231,-87.88346,-6,1,31.508231
138,CAINC1-1,01073,2018,Thousands of dollars,3,"36,644,708",Jefferson,AL,36745,32.414035999999996,-87.898611,-6,1,32.414035999999996
164,CAINC1-1,01089,2018,Thousands of dollars,3,"19,088,069",Madison,AL,35758,34.715065,-86.73964000000001,-6,1,34.715065
178,CAINC1-1,01093,2018,Thousands of dollars,3,"987,373",Marion,AL,36756,32.665966,-87.33889,-6,1,32.665966
524,CAINC1-1,01097,2018,Thousands of dollars,3,"16,056,031",Mobile,AL,36689,30.658865000000002,-88.177975,-6,1,30.658865000000002
890,CAINC1-1,01101,2018,Thousands of dollars,3,"9,959,136",Montgomery,AL,36134,32.233377000000004,-86.208528,-6,1,32.233377000000004
968,CAINC1-1,01111,2018,Thousands of dollars,3,"760,016",Randolph,AL,36792,32.917983,-86.89046,-6,1,32.917983
978,CAINC1-1,01117,2018,Thousands of dollars,3,"11,849,115",Shelby,AL,35143,33.080971000000005,-86.53875,-6,1,33.080971000000005
996,CAINC1-1,01121,2018,Thousands of dollars,3,"2,781,484",Talladega,AL,35161,33.420206,-86.10278199999999,-6,1,33.420206
1080,CAINC1-1,01125,2018,Thousands of dollars,3,"8,194,080",Tuscaloosa,AL,35401,33.193818,-87.56843,-6,1,33.193818
1108,CAINC1-1,04003,2018,Thousands of dollars,3,"5,045,137",Cochise,AZ,85606,32.054694,-109.81342,-7,0,32.054694
1118,CAINC1-1,04013,2018,Thousands of dollars,3,"211,812,685",Maricopa,AZ,85239,32.989261,-112.11505,-7,0,32.989261
1128,CAINC1-1,04017,2018,Thousands of dollars,3,"3,541,598",Navajo,AZ,87328,35.923348,-109.08296000000001,-7,0,35.923348
1138,CAINC1-1,04019,2018,Thousands of dollars,3,"45,623,879",Pima,AZ,85543,32.90375,-109.84995,-7,0,32.90375
1180,CAINC1-1,04027,2018,Thousands of dollars,3,"7,408,956",Yuma,AZ,85367,32.654701,-114.40883999999998,-7,0,32.654701
1214,CAINC1-1,05007,2018,Thousands of dollars,3,"25,141,681",Benton,AR,72018,34.597345000000004,-92.622857,-6,1,34.597345000000004
1228,CAINC1-1,05011,2018,Thousands of dollars,3,"421,157",Bradley,AR,71826,33.102083,-93.67371999999999,-6,1,33.102083
1238,CAINC1-1,05025,2018,Thousands of dollars,3,"324,555",Cleveland,AR,72030,35.423473,-92.67942,-6,1,35.423473
1272,CAINC1-1,05029,2018,Thousands of dollars,3,"795,800",Conway,AR,72035,35.105306,-92.354915,-6,1,35.105306
1288,CAINC1-1,05041,2018,Thousands of dollars,3,"439,005",Desha,AR,72527,35.733939,-91.68913,-6,1,35.733939
1298,CAINC1-1,05047,2018,Thousands of dollars,3,"589,946",Franklin,AR,72536,36.155896999999996,-91.75644,-6,1,36.155896999999996
1308,CAINC1-1,05049,2018,Thousands of dollars,3,"344,688",Fulton,AR,71838,33.638783000000004,-93.80828000000001,-6,1,33.638783000000004
1318,CAINC1-1,05069,2018,Thousands of dollars,3,"2,384,681",Jefferson,AR,72079,34.401717,-92.20272,-6,1,34.401717
1328,CAINC1-1,05071,2018,Thousands of dollars,3,"766,069",Johnson,AR,72741,35.99403,-94.219977,-6,1,35.99403
1338,CAINC1-1,05079,2018,Thousands of dollars,3,"357,729",Lincoln,AR,72744,35.954696999999996,-94.42735,-6,1,35.954696999999996
1348,CAINC1-1,05085,2018,Thousands of dollars,3,"2,885,419",Lonoke,AR,72086,34.7964,-91.90949,-6,1,34.7964
1358,CAINC1-1,05087,2018,Thousands of dollars,3,"574,043",Madison,AR,72359,35.013692999999996,-90.72317,-6,1,35.013692999999996
1368,CAINC1-1,05089,2018,Thousands of dollars,3,"506,995",Marion,AR,72364,35.200501,-90.20234,-6,1,35.200501
1378,CAINC1-1,05095,2018,Thousands of dollars,3,"230,576",Monroe,AR,72108,34.726737,-91.10958000000001,-6,1,34.726737
1388,CAINC1-1,05105,2018,Thousands of dollars,3,"366,749",Perry,AR,72125,35.056424,-92.79432,-6,1,35.056424
1398,CAINC1-1,05127,2018,Thousands of dollars,3,"325,140",Scott,AR,72142,34.689349,-92.07791999999999,-6,1,34.689349
1424,CAINC1-1,05129,2018,Thousands of dollars,3,"215,037",Searcy,AR,72143,35.239022,-91.73776,-6,1,35.239022
1446,CAINC1-1,05141,2018,Thousands of dollars,3,"505,582",Van Buren,AR,72956,35.456536,-94.34581,-6,1,35.456536
1458,CAINC1-1,05143,2018,Thousands of dollars,3,"9,427,459",Washington,AR,71862,33.761309000000004,-93.71273000000001,-6,1,33.761309000000004
1476,CAINC1-1,06001,2018,Thousands of dollars,3,"128,728,021",Alameda,CA,94502,37.734379,-122.23952,-8,1,37.734379
1496,CAINC1-1,06003,2018,Thousands of dollars,3,"78,472",Alpine,CA,91901,32.823102,-116.73863999999999,-8,1,32.823102
1508,CAINC1-1,06011,2018,Thousands of dollars,3,"1,070,094",Colusa,CA,95932,39.254875,-122.04571999999999,-8,1,39.254875
1518,CAINC1-1,06017,2018,Thousands of dollars,3,"12,820,940",El Dorado,CA,95623,38.639643,-120.84556,-8,1,38.639643
2000,CAINC1-1,06019,2018,Thousands of dollars,3,"43,088,095",Fresno,CA,93702,36.741199,-119.7553,-8,1,36.741199
2128,CAINC1-1,06021,2018,Thousands of dollars,3,"1,317,914",Glenn,CA,95943,39.605289,-122.03231000000001,-8,1,39.605289
2138,CAINC1-1,06025,2018,Thousands of dollars,3,"6,822,928",Imperial,CA,92251,32.853471,-115.58941999999999,-8,1,32.853471
2948,CAINC1-1,06037,2018,Thousands of dollars,3,"627,608,360",Los Angeles,CA,90081,33.786594,-118.29866200000001,-8,1,33.786594
