,Code,GeoFips,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,City,State_id,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
9,CAINC1-1,01013,2019,Thousands of dollars,3,"729,749",Butler,AL,36904,32.097363,-88.22646999999999,-6,1,32.097363
19,CAINC1-1,01019,2019,Thousands of dollars,3,"954,378",Cherokee,AL,35616,34.748498,-87.9986,-6,1,34.748498
29,CAINC1-1,01027,2019,Thousands of dollars,3,"454,255",Clay,AL,35048,33.544622,-86.929208,-6,1,33.544622
66,CAINC1-1,01043,2019,Thousands of dollars,3,"3,419,217",Cullman,AL,35055,34.167893,-86.82506,-6,1,34.167893
79,CAINC1-1,01051,2019,Thousands of dollars,3,"3,598,857",Elmore,AL,36025,32.538878000000004,-86.33358,-6,1,32.538878000000004
89,CAINC1-1,01057,2019,Thousands of dollars,3,"594,454",Fayette,AL,35555,33.681768,-87.83026,-6,1,33.681768
99,CAINC1-1,01059,2019,Thousands of dollars,3,"1,106,841",Franklin,AL,36444,31.63857,-87.46772,-6,1,31.63857
109,CAINC1-1,01061,2019,Thousands of dollars,3,"968,033",Geneva,AL,36340,31.043453999999997,-85.87941,-6,1,31.043453999999997
119,CAINC1-1,01069,2019,Thousands of dollars,3,"4,727,293",Houston,AL,35572,34.166779999999996,-87.26526,-6,1,34.166779999999996
129,CAINC1-1,01071,2019,Thousands of dollars,3,"1,978,062",Jackson,AL,36545,31.508231,-87.88346,-6,1,31.508231
139,CAINC1-1,01073,2019,Thousands of dollars,3,"37,755,657",Jefferson,AL,36745,32.414035999999996,-87.898611,-6,1,32.414035999999996
167,CAINC1-1,01089,2019,Thousands of dollars,3,"20,140,928",Madison,AL,35758,34.715065,-86.73964000000001,-6,1,34.715065
179,CAINC1-1,01093,2019,Thousands of dollars,3,"1,010,119",Marion,AL,36756,32.665966,-87.33889,-6,1,32.665966
567,CAINC1-1,01097,2019,Thousands of dollars,3,"16,574,614",Mobile,AL,36689,30.658865000000002,-88.177975,-6,1,30.658865000000002
925,CAINC1-1,01101,2019,Thousands of dollars,3,"10,300,413",Montgomery,AL,36134,32.233377000000004,-86.208528,-6,1,32.233377000000004
969,CAINC1-1,01111,2019,Thousands of dollars,3,"768,092",Randolph,AL,36792,32.917983,-86.89046,-6,1,32.917983
979,CAINC1-1,01117,2019,Thousands of dollars,3,"12,371,941",Shelby,AL,35143,33.080971000000005,-86.53875,-6,1,33.080971000000005
998,CAINC1-1,01121,2019,Thousands of dollars,3,"2,889,208",Talladega,AL,35161,33.420206,-86.10278199999999,-6,1,33.420206
1090,CAINC1-1,01125,2019,Thousands of dollars,3,"8,509,809",Tuscaloosa,AL,35401,33.193818,-87.56843,-6,1,33.193818
1109,CAINC1-1,04003,2019,Thousands of dollars,3,"5,259,219",Cochise,AZ,85606,32.054694,-109.81342,-7,0,32.054694
1119,CAINC1-1,04013,2019,Thousands of dollars,3,"222,943,072",Maricopa,AZ,85239,32.989261,-112.11505,-7,0,32.989261
1129,CAINC1-1,04017,2019,Thousands of dollars,3,"3,690,208",Navajo,AZ,87328,35.923348,-109.08296000000001,-7,0,35.923348
1139,CAINC1-1,04019,2019,Thousands of dollars,3,"47,604,994",Pima,AZ,85543,32.90375,-109.84995,-7,0,32.90375
1185,CAINC1-1,04027,2019,Thousands of dollars,3,"7,818,246",Yuma,AZ,85367,32.654701,-114.40883999999998,-7,0,32.654701
1217,CAINC1-1,05007,2019,Thousands of dollars,3,"25,875,643",Benton,AR,72018,34.597345000000004,-92.622857,-6,1,34.597345000000004
1229,CAINC1-1,05011,2019,Thousands of dollars,3,"430,310",Bradley,AR,71826,33.102083,-93.67371999999999,-6,1,33.102083
1239,CAINC1-1,05025,2019,Thousands of dollars,3,"317,020",Cleveland,AR,72030,35.423473,-92.67942,-6,1,35.423473
1276,CAINC1-1,05029,2019,Thousands of dollars,3,"810,744",Conway,AR,72035,35.105306,-92.354915,-6,1,35.105306
1289,CAINC1-1,05041,2019,Thousands of dollars,3,"465,151",Desha,AR,72527,35.733939,-91.68913,-6,1,35.733939
1299,CAINC1-1,05047,2019,Thousands of dollars,3,"591,749",Franklin,AR,72536,36.155896999999996,-91.75644,-6,1,36.155896999999996
1309,CAINC1-1,05049,2019,Thousands of dollars,3,"362,079",Fulton,AR,71838,33.638783000000004,-93.80828000000001,-6,1,33.638783000000004
1319,CAINC1-1,05069,2019,Thousands of dollars,3,"2,444,791",Jefferson,AR,72079,34.401717,-92.20272,-6,1,34.401717
1329,CAINC1-1,05071,2019,Thousands of dollars,3,"768,625",Johnson,AR,72741,35.99403,-94.219977,-6,1,35.99403
1339,CAINC1-1,05079,2019,Thousands of dollars,3,"364,980",Lincoln,AR,72744,35.954696999999996,-94.42735,-6,1,35.954696999999996
1349,CAINC1-1,05085,2019,Thousands of dollars,3,"2,987,256",Lonoke,AR,72086,34.7964,-91.90949,-6,1,34.7964
1359,CAINC1-1,05087,2019,Thousands of dollars,3,"567,645",Madison,AR,72359,35.013692999999996,-90.72317,-6,1,35.013692999999996
1369,CAINC1-1,05089,2019,Thousands of dollars,3,"524,268",Marion,AR,72364,35.200501,-90.20234,-6,1,35.200501
1379,CAINC1-1,05095,2019,Thousands of dollars,3,"245,991",Monroe,AR,72108,34.726737,-91.10958000000001,-6,1,34.726737
1389,CAINC1-1,05105,2019,Thousands of dollars,3,"378,973",Perry,AR,72125,35.056424,-92.79432,-6,1,35.056424
1399,CAINC1-1,05127,2019,Thousands of dollars,3,"320,343",Scott,AR,72142,34.689349,-92.07791999999999,-6,1,34.689349
1427,CAINC1-1,05129,2019,Thousands of dollars,3,"221,798",Searcy,AR,72143,35.239022,-91.73776,-6,1,35.239022
