,Code,GeoFips,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,City,State_id,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
2,CAINC1-1,01013,2012,Thousands of dollars,3,"622,648",Butler,AL,36904,32.097363,-88.22646999999999,-6,1,32.097363
12,CAINC1-1,01019,2012,Thousands of dollars,3,"768,720",Cherokee,AL,35616,34.748498,-87.9986,-6,1,34.748498
22,CAINC1-1,01027,2012,Thousands of dollars,3,"368,305",Clay,AL,35048,33.544622,-86.929208,-6,1,33.544622
38,CAINC1-1,01043,2012,Thousands of dollars,3,"2,625,163",Cullman,AL,35055,34.167893,-86.82506,-6,1,34.167893
72,CAINC1-1,01051,2012,Thousands of dollars,3,"2,875,516",Elmore,AL,36025,32.538878000000004,-86.33358,-6,1,32.538878000000004
82,CAINC1-1,01057,2012,Thousands of dollars,3,"486,603",Fayette,AL,35555,33.681768,-87.83026,-6,1,33.681768
92,CAINC1-1,01059,2012,Thousands of dollars,3,"901,633",Franklin,AL,36444,31.63857,-87.46772,-6,1,31.63857
102,CAINC1-1,01061,2012,Thousands of dollars,3,"792,848",Geneva,AL,36340,31.043453999999997,-85.87941,-6,1,31.043453999999997
112,CAINC1-1,01069,2012,Thousands of dollars,3,"3,815,591",Houston,AL,35572,34.166779999999996,-87.26526,-6,1,34.166779999999996
122,CAINC1-1,01071,2012,Thousands of dollars,3,"1,669,025",Jackson,AL,36545,31.508231,-87.88346,-6,1,31.508231
132,CAINC1-1,01073,2012,Thousands of dollars,3,"30,086,864",Jefferson,AL,36745,32.414035999999996,-87.898611,-6,1,32.414035999999996
146,CAINC1-1,01089,2012,Thousands of dollars,3,"15,163,647",Madison,AL,35758,34.715065,-86.73964000000001,-6,1,34.715065
172,CAINC1-1,01093,2012,Thousands of dollars,3,"834,081",Marion,AL,36756,32.665966,-87.33889,-6,1,32.665966
266,CAINC1-1,01097,2012,Thousands of dollars,3,"13,885,056",Mobile,AL,36689,30.658865000000002,-88.177975,-6,1,30.658865000000002
680,CAINC1-1,01101,2012,Thousands of dollars,3,"8,573,654",Montgomery,AL,36134,32.233377000000004,-86.208528,-6,1,32.233377000000004
962,CAINC1-1,01111,2012,Thousands of dollars,3,"623,708",Randolph,AL,36792,32.917983,-86.89046,-6,1,32.917983
972,CAINC1-1,01117,2012,Thousands of dollars,3,"9,247,713",Shelby,AL,35143,33.080971000000005,-86.53875,-6,1,33.080971000000005
984,CAINC1-1,01121,2012,Thousands of dollars,3,"2,411,630",Talladega,AL,35161,33.420206,-86.10278199999999,-6,1,33.420206
1020,CAINC1-1,01125,2012,Thousands of dollars,3,"6,804,941",Tuscaloosa,AL,35401,33.193818,-87.56843,-6,1,33.193818
1102,CAINC1-1,04003,2012,Thousands of dollars,3,"4,535,292",Cochise,AZ,85606,32.054694,-109.81342,-7,0,32.054694
1112,CAINC1-1,04013,2012,Thousands of dollars,3,"154,410,001",Maricopa,AZ,85239,32.989261,-112.11505,-7,0,32.989261
1122,CAINC1-1,04017,2012,Thousands of dollars,3,"2,789,604",Navajo,AZ,87328,35.923348,-109.08296000000001,-7,0,35.923348
1132,CAINC1-1,04019,2012,Thousands of dollars,3,"36,127,005",Pima,AZ,85543,32.90375,-109.84995,-7,0,32.90375
1150,CAINC1-1,04027,2012,Thousands of dollars,3,"5,611,615",Yuma,AZ,85367,32.654701,-114.40883999999998,-7,0,32.654701
1196,CAINC1-1,05007,2012,Thousands of dollars,3,"15,708,112",Benton,AR,72018,34.597345000000004,-92.622857,-6,1,34.597345000000004
1222,CAINC1-1,05011,2012,Thousands of dollars,3,"354,711",Bradley,AR,71826,33.102083,-93.67371999999999,-6,1,33.102083
1232,CAINC1-1,05025,2012,Thousands of dollars,3,"261,172",Cleveland,AR,72030,35.423473,-92.67942,-6,1,35.423473
1248,CAINC1-1,05029,2012,Thousands of dollars,3,"706,015",Conway,AR,72035,35.105306,-92.354915,-6,1,35.105306
1282,CAINC1-1,05041,2012,Thousands of dollars,3,"424,862",Desha,AR,72527,35.733939,-91.68913,-6,1,35.733939
1292,CAINC1-1,05047,2012,Thousands of dollars,3,"513,960",Franklin,AR,72536,36.155896999999996,-91.75644,-6,1,36.155896999999996
1302,CAINC1-1,05049,2012,Thousands of dollars,3,"303,607",Fulton,AR,71838,33.638783000000004,-93.80828000000001,-6,1,33.638783000000004
1312,CAINC1-1,05069,2012,Thousands of dollars,3,"2,327,337",Jefferson,AR,72079,34.401717,-92.20272,-6,1,34.401717
1322,CAINC1-1,05071,2012,Thousands of dollars,3,"659,776",Johnson,AR,72741,35.99403,-94.219977,-6,1,35.99403
1332,CAINC1-1,05079,2012,Thousands of dollars,3,"331,287",Lincoln,AR,72744,35.954696999999996,-94.42735,-6,1,35.954696999999996
1342,CAINC1-1,05085,2012,Thousands of dollars,3,"2,421,539",Lonoke,AR,72086,34.7964,-91.90949,-6,1,34.7964
1352,CAINC1-1,05087,2012,Thousands of dollars,3,"431,361",Madison,AR,72359,35.013692999999996,-90.72317,-6,1,35.013692999999996
1362,CAINC1-1,05089,2012,Thousands of dollars,3,"422,895",Marion,AR,72364,35.200501,-90.20234,-6,1,35.200501
1372,CAINC1-1,05095,2012,Thousands of dollars,3,"241,981",Monroe,AR,72108,34.726737,-91.10958000000001,-6,1,34.726737
1382,CAINC1-1,05105,2012,Thousands of dollars,3,"322,155",Perry,AR,72125,35.056424,-92.79432,-6,1,35.056424
1392,CAINC1-1,05127,2012,Thousands of dollars,3,"270,067",Scott,AR,72142,34.689349,-92.07791999999999,-6,1,34.689349
1406,CAINC1-1,05129,2012,Thousands of dollars,3,"205,330",Searcy,AR,72143,35.239022,-91.73776,-6,1,35.239022
1434,CAINC1-1,05141,2012,Thousands of dollars,3,"470,050",Van Buren,AR,72956,35.456536,-94.34581,-6,1,35.456536
1452,CAINC1-1,05143,2012,Thousands of dollars,3,"6,796,084",Washington,AR,71862,33.761309000000004,-93.71273000000001,-6,1,33.761309000000004
1464,CAINC1-1,06001,2012,Thousands of dollars,3,"82,974,225",Alameda,CA,94502,37.734379,-122.23952,-8,1,37.734379
